date,N
2000-09-10,1
2001-04-10,1
2001-06-10,1
2001-08-10,2
2001-12-10,1
2002-04-10,1
2002-05-10,1
2002-09-10,2
2002-10-10,1
2003-02-10,1
2003-03-10,1
2003-08-10,2
2003-10-10,1
2003-12-10,2
2004-03-10,1
2004-06-10,2
2004-07-10,1
2004-09-10,1
2004-11-10,3
2005-02-10,1
2005-03-10,2
2005-07-10,1
2005-09-10,1
2005-10-10,2
2005-11-10,1
2006-01-10,2
2006-03-10,2
2006-05-10,1
2006-07-10,1
2006-09-10,2
2006-10-10,2
2006-12-10,1
2007-02-10,1
2007-03-10,1
2007-06-10,1
2007-08-10,3
2007-09-10,3
2007-10-10,3
2007-11-10,2
2007-12-10,7
2008-01-10,1
2008-02-10,5
2008-03-10,7
2008-05-10,5
2008-06-10,3
2008-07-10,3
2008-09-10,3
2008-11-10,1
2008-12-10,4
2009-02-10,2
2009-03-10,3
2009-05-10,3
2009-06-10,1
2009-07-10,4
2009-08-10,4
2009-09-10,5
2009-10-10,1
2009-11-10,3
2009-12-10,6
2010-01-10,3
2010-02-10,2
2010-03-10,5
2010-04-10,9
2010-05-10,4
2010-06-10,13
2010-07-10,1
2010-08-10,7
2010-09-10,3
2010-10-10,5
2010-11-10,2
2010-12-10,6
2011-01-10,4
2011-02-10,6
2011-03-10,8
2011-04-10,2
2011-05-10,5
2011-06-10,1
2011-07-10,3
2011-08-10,1
2011-09-10,3
2011-10-10,5
2011-11-10,3
2011-12-10,5
2012-01-10,4
2012-02-10,1
2012-03-10,7
2012-04-10,2
2012-05-10,2
2012-06-10,2
2012-07-10,4
2012-08-10,6
2012-09-10,3
2012-10-10,5
2012-11-10,5
2012-12-10,3
2013-01-10,5
2013-02-10,3
2013-03-10,9
2013-04-10,2
2013-06-10,3
2013-07-10,1
2013-08-10,2
2013-09-10,2
2013-10-10,7
2013-11-10,4
2013-12-10,2
2014-01-10,3
2014-02-10,9
2014-03-10,9
2014-04-10,2
2014-05-10,5
2014-06-10,6
2014-07-10,7
2014-08-10,12
2014-09-10,7
2014-10-10,3
2014-11-10,2
2014-12-10,3
2015-01-10,6
2015-02-10,6
2015-03-10,9
2015-04-10,3
2015-05-10,6
2015-06-10,5
2015-07-10,10
2015-08-10,8
2015-09-10,12
2015-10-10,10
2015-11-10,4
2015-12-10,13
2016-01-10,7
2016-02-10,12
2016-03-10,15
2016-04-10,11
2016-05-10,15
2016-06-10,19
2016-07-10,6
2016-08-10,16
2016-09-10,16
2016-10-10,20
2016-11-10,16
2016-12-10,43
2017-01-10,13
2017-02-10,21
2017-03-10,23
2017-04-10,20
2017-05-10,32
2017-06-10,35
2017-07-10,17
2017-08-10,28
2017-09-10,29
2017-10-10,29
2017-11-10,40
2017-12-10,36
2018-01-10,15
2018-02-10,19
2018-03-10,17
2018-04-10,24
2018-05-10,29
2018-06-10,24
2018-07-10,19
2018-08-10,25
2018-09-10,23
2018-10-10,28
2018-11-10,26
2018-12-10,28
2019-01-10,25
2019-02-10,24
2019-03-10,22
2019-04-10,24
2019-05-10,33
2019-06-10,18
2019-07-10,22
2019-08-10,30
2019-09-10,29
2019-10-10,20
2019-11-10,32
2019-12-10,23
2020-01-10,17
2020-02-10,7
2020-03-10,11
2020-04-10,11
2020-05-10,6
2020-06-10,17
2020-07-10,16
2020-08-10,13
2020-09-10,13
2020-10-10,16
2020-11-10,10
2020-12-10,8
2021-01-10,8
2021-02-10,5
2021-03-10,7
2021-04-10,8
2021-05-10,7
2021-06-10,9
2021-07-10,7
2021-08-10,8
2021-09-10,6
2021-10-10,3
2021-11-10,6
